ligand,receptor,species,type
ULBP1,FCRL6,Human,R
CCL24,FFAR3,Human,R
CORT,FFAR3,Human,R
CCL21,FFAR3,Human,R
CXCL11,FFAR3,Human,R
DEFB4A,FFAR3,Human,R
DEFB4B,FFAR3,Human,R
CCL25,FFAR3,Human,R
CCL16,FFAR3,Human,R
CXCL13,FFAR3,Human,R
PENK,FFAR3,Human,R
PDYN,FFAR3,Human,R
TSHB,FFAR3,Human,R
CALCA,FFAR3,Human,R
PTH,FFAR3,Human,R
GHRH,FFAR3,Human,R
PF4,FFAR3,Human,R
CXCL10,FFAR3,Human,R
GIP,FFAR3,Human,R
CXCL8,FFAR3,Human,R
CCL3,FFAR3,Human,R
CCL2,FFAR3,Human,R
CCL3L3,FFAR3,Human,R
TAC1,FFAR3,Human,R
PMCH,FFAR3,Human,R
CXCL5,FFAR3,Human,R
CCL11,FFAR3,Human,R
CCL23,FFAR3,Human,R
CCL18,FFAR3,Human,R
DEFB1,FFAR3,Human,R
SST,FFAR3,Human,R
CCL20,FFAR3,Human,R
CCL8,FFAR3,Human,R
DEFB103A,FFAR3,Human,R
DEFB103B,FFAR3,Human,R
CXCL9,FFAR3,Human,R
PNOC,FFAR3,Human,R
CCL15,FFAR3,Human,R
NMS,FFAR3,Human,R
TAC4,FFAR3,Human,R
DEFB106A,FFAR3,Human,R
CCL13,FFAR3,Human,R
CCL19,FFAR3,Human,R
CCL28,FFAR3,Human,R
HEBP1,FFAR3,Human,R
TAC3,FFAR3,Human,R
CCL27,FFAR3,Human,R
CORT,FFAR4,Human,R
CXCL11,FFAR4,Human,R
CCL25,FFAR4,Human,R
NPPA,FFAR4,Human,R
PENK,FFAR4,Human,R
PDYN,FFAR4,Human,R
CALCA,FFAR4,Human,R
PTH,FFAR4,Human,R
GCG,FFAR4,Human,R
VIP,FFAR4,Human,R
GHRH,FFAR4,Human,R
PPY,FFAR4,Human,R
NPY,FFAR4,Human,R
RLN2,FFAR4,Human,R
CRH,FFAR4,Human,R
GIP,FFAR4,Human,R
SCT,FFAR4,Human,R
NPS,FFAR4,Human,R
PYY,FFAR4,Human,R
CALCB,FFAR4,Human,R
IAPP,FFAR4,Human,R
NPPB,FFAR4,Human,R
ADCYAP1,FFAR4,Human,R
TAC1,FFAR4,Human,R
PMCH,FFAR4,Human,R
GAL,FFAR4,Human,R
NPPC,FFAR4,Human,R
NMU,FFAR4,Human,R
SST,FFAR4,Human,R
CXCL9,FFAR4,Human,R
PNOC,FFAR4,Human,R
NMS,FFAR4,Human,R
TAC4,FFAR4,Human,R
NPW,FFAR4,Human,R
NPB,FFAR4,Human,R
RLN3,FFAR4,Human,R
PTH2,FFAR4,Human,R
CCL28,FFAR4,Human,R
TAC3,FFAR4,Human,R
CCL27,FFAR4,Human,R
INSL5,FFAR4,Human,R
EREG,FRAS1,Human,R
LAMA5,FRAS1,Human,R
CHAD,FRAS1,Human,R
F9,FRAS1,Human,R
SERPINA1,FRAS1,Human,R
C1QB,FRAS1,Human,R
HPX,FRAS1,Human,R
DCN,FRAS1,Human,R
GSTP1,FRAS1,Human,R
AREG,FRAS1,Human,R
FBLN1,FRAS1,Human,R
COMP,FRAS1,Human,R
LUM,FRAS1,Human,R
MFAP2,FRAS1,Human,R
LAMB2,FRAS1,Human,R
DLK1,FRAS1,Human,R
LGALS3BP,FRAS1,Human,R
FGL1,FRAS1,Human,R
EFEMP1,FRAS1,Human,R
FCN2,FRAS1,Human,R
RSPO4,FRAS1,Human,R
RSPO1,FRAS1,Human,R
NPNT,FRAS1,Human,R
RSPO2,FRAS1,Human,R
DLK2,FRAS1,Human,R
BCAN,FRAS1,Human,R
LRIG1,FRAS1,Human,R
RSPO3,FRAS1,Human,R
DLL3,FRAS1,Human,R
JAG2,FRAS1,Human,R
LAMC3,FRAS1,Human,R
CCL24,GPER1,Human,R
CORT,GPER1,Human,R
CCL21,GPER1,Human,R
CCL22,GPER1,Human,R
CXCL11,GPER1,Human,R
DEFB4A,GPER1,Human,R
DEFB4B,GPER1,Human,R
CCL25,GPER1,Human,R
CCL16,GPER1,Human,R
CXCL13,GPER1,Human,R
NPPA,GPER1,Human,R
AVP,GPER1,Human,R
POMC,GPER1,Human,R
PENK,GPER1,Human,R
PDYN,GPER1,Human,R
CGA,GPER1,Human,R
TSHB,GPER1,Human,R
FSHB,GPER1,Human,R
LHB,GPER1,Human,R
CALCA,GPER1,Human,R
PTH,GPER1,Human,R
GCG,GPER1,Human,R
VIP,GPER1,Human,R
GHRH,GPER1,Human,R
PPY,GPER1,Human,R
NPY,GPER1,Human,R
IGF2,GPER1,Human,R
PPBP,GPER1,Human,R
PF4,GPER1,Human,R
CXCL10,GPER1,Human,R
RLN2,GPER1,Human,R
IGF1,GPER1,Human,R
EDN1,GPER1,Human,R
CRH,GPER1,Human,R
CXCL1,GPER1,Human,R
GIP,GPER1,Human,R
SCT,GPER1,Human,R
NPS,GPER1,Human,R
SAA1,GPER1,Human,R
PYY,GPER1,Human,R
CALCB,GPER1,Human,R
CXCL8,GPER1,Human,R
CCL3,GPER1,Human,R
IAPP,GPER1,Human,R
PTHLH,GPER1,Human,R
CCL4,GPER1,Human,R
CCL2,GPER1,Human,R
CCL5,GPER1,Human,R
EDN3,GPER1,Human,R
CCL3L3,GPER1,Human,R
NPPB,GPER1,Human,R
ADCYAP1,GPER1,Human,R
CXCL2,GPER1,Human,R
CXCL3,GPER1,Human,R
TAC1,GPER1,Human,R
PMCH,GPER1,Human,R
EDN2,GPER1,Human,R
GAL,GPER1,Human,R
NPPC,GPER1,Human,R
ADM,GPER1,Human,R
CXCL5,GPER1,Human,R
CXCL12,GPER1,Human,R
NMU,GPER1,Human,R
INSL3,GPER1,Human,R
CCL11,GPER1,Human,R
CCL23,GPER1,Human,R
CCL18,GPER1,Human,R
DEFB1,GPER1,Human,R
SST,GPER1,Human,R
CCL20,GPER1,Human,R
CCL8,GPER1,Human,R
CCL7,GPER1,Human,R
CXCL6,GPER1,Human,R
DEFB103A,GPER1,Human,R
DEFB103B,GPER1,Human,R
CXCL9,GPER1,Human,R
PNOC,GPER1,Human,R
CCL14,GPER1,Human,R
CCL15,GPER1,Human,R
NMS,GPER1,Human,R
ADM2,GPER1,Human,R
TAC4,GPER1,Human,R
DEFB106A,GPER1,Human,R
NPW,GPER1,Human,R
NPB,GPER1,Human,R
RLN3,GPER1,Human,R
CCL17,GPER1,Human,R
UCN3,GPER1,Human,R
PTH2,GPER1,Human,R
UCN2,GPER1,Human,R
CCL13,GPER1,Human,R
CCL19,GPER1,Human,R
CCL28,GPER1,Human,R
HEBP1,GPER1,Human,R
TAC3,GPER1,Human,R
APLN,GPER1,Human,R
CCL26,GPER1,Human,R
CCL27,GPER1,Human,R
INSL5,GPER1,Human,R
CORT,GPR12,Human,R
CCL21,GPR12,Human,R
CCL25,GPR12,Human,R
NPPA,GPR12,Human,R
POMC,GPR12,Human,R
PENK,GPR12,Human,R
PDYN,GPR12,Human,R
CXCL1,GPR12,Human,R
NPPB,GPR12,Human,R
TAC1,GPR12,Human,R
PMCH,GPR12,Human,R
NPPC,GPR12,Human,R
CXCL5,GPR12,Human,R
NMU,GPR12,Human,R
SST,GPR12,Human,R
CXCL6,GPR12,Human,R
CXCL9,GPR12,Human,R
TAC4,GPR12,Human,R
HEBP1,GPR12,Human,R
TAC3,GPR12,Human,R
CORT,GPR132,Human,R
CXCL11,GPR132,Human,R
CCL25,GPR132,Human,R
CCL16,GPR132,Human,R
CXCL13,GPR132,Human,R
PENK,GPR132,Human,R
PDYN,GPR132,Human,R
CALCA,GPR132,Human,R
PTH,GPR132,Human,R
GCG,GPR132,Human,R
VIP,GPR132,Human,R
GHRH,GPR132,Human,R
CXCL10,GPR132,Human,R
RLN2,GPR132,Human,R
GIP,GPR132,Human,R
NPS,GPR132,Human,R
CALCB,GPR132,Human,R
IAPP,GPR132,Human,R
TAC1,GPR132,Human,R
PMCH,GPR132,Human,R
GAL,GPR132,Human,R
NMU,GPR132,Human,R
SST,GPR132,Human,R
CCL20,GPR132,Human,R
CXCL9,GPR132,Human,R
PNOC,GPR132,Human,R
NMS,GPR132,Human,R
TAC4,GPR132,Human,R
TAC3,GPR132,Human,R
CCL27,GPR132,Human,R
CORT,GPR139,Human,R
PENK,GPR139,Human,R
PDYN,GPR139,Human,R
CALCA,GPR139,Human,R
PTH,GPR139,Human,R
GCG,GPR139,Human,R
VIP,GPR139,Human,R
GHRH,GPR139,Human,R
GIP,GPR139,Human,R
NPS,GPR139,Human,R
CALCB,GPR139,Human,R
IAPP,GPR139,Human,R
TAC1,GPR139,Human,R
PMCH,GPR139,Human,R
GAL,GPR139,Human,R
NMU,GPR139,Human,R
SST,GPR139,Human,R
PNOC,GPR139,Human,R
NMS,GPR139,Human,R
TAC4,GPR139,Human,R
TAC3,GPR139,Human,R
CCL24,GPR15,Human,R
CORT,GPR15,Human,R
CCL21,GPR15,Human,R
CXCL11,GPR15,Human,R
DEFB4B,GPR15,Human,R
CCL25,GPR15,Human,R
CCL16,GPR15,Human,R
CXCL13,GPR15,Human,R
PENK,GPR15,Human,R
PDYN,GPR15,Human,R
CALCA,GPR15,Human,R
PTH,GPR15,Human,R
GCG,GPR15,Human,R
VIP,GPR15,Human,R
GHRH,GPR15,Human,R
PF4,GPR15,Human,R
CXCL10,GPR15,Human,R
GIP,GPR15,Human,R
NPS,GPR15,Human,R
CALCB,GPR15,Human,R
IAPP,GPR15,Human,R
CCL2,GPR15,Human,R
NPPB,GPR15,Human,R
TAC1,GPR15,Human,R
PMCH,GPR15,Human,R
GAL,GPR15,Human,R
CXCL12,GPR15,Human,R
NMU,GPR15,Human,R
CCL11,GPR15,Human,R
CCL18,GPR15,Human,R
SST,GPR15,Human,R
CCL20,GPR15,Human,R
CCL8,GPR15,Human,R
CCL7,GPR15,Human,R
DEFB103A,GPR15,Human,R
DEFB103B,GPR15,Human,R
CXCL9,GPR15,Human,R
PNOC,GPR15,Human,R
CCL15,GPR15,Human,R
NMS,GPR15,Human,R
TAC4,GPR15,Human,R
DEFB106A,GPR15,Human,R
CCL13,GPR15,Human,R
CCL19,GPR15,Human,R
CCL28,GPR15,Human,R
HEBP1,GPR15,Human,R
TAC3,GPR15,Human,R
CCL26,GPR15,Human,R
CCL27,GPR15,Human,R
CCL24,GPR17,Human,R
CORT,GPR17,Human,R
CCL21,GPR17,Human,R
CXCL11,GPR17,Human,R
DEFB4A,GPR17,Human,R
DEFB4B,GPR17,Human,R
CCL25,GPR17,Human,R
CCL16,GPR17,Human,R
CXCL13,GPR17,Human,R
PENK,GPR17,Human,R
PDYN,GPR17,Human,R
CALCA,GPR17,Human,R
PTH,GPR17,Human,R
GCG,GPR17,Human,R
VIP,GPR17,Human,R
GHRH,GPR17,Human,R
PF4,GPR17,Human,R
CXCL10,GPR17,Human,R
RLN2,GPR17,Human,R
GIP,GPR17,Human,R
NPS,GPR17,Human,R
CALCB,GPR17,Human,R
IAPP,GPR17,Human,R
CCL2,GPR17,Human,R
TAC1,GPR17,Human,R
PMCH,GPR17,Human,R
GAL,GPR17,Human,R
CXCL12,GPR17,Human,R
NMU,GPR17,Human,R
CCL11,GPR17,Human,R
CCL18,GPR17,Human,R
DEFB1,GPR17,Human,R
SST,GPR17,Human,R
CCL20,GPR17,Human,R
CCL8,GPR17,Human,R
DEFB103A,GPR17,Human,R
DEFB103B,GPR17,Human,R
CXCL9,GPR17,Human,R
PNOC,GPR17,Human,R
CCL15,GPR17,Human,R
NMS,GPR17,Human,R
TAC4,GPR17,Human,R
DEFB106A,GPR17,Human,R
CCL13,GPR17,Human,R
CCL19,GPR17,Human,R
CCL28,GPR17,Human,R
HEBP1,GPR17,Human,R
TAC3,GPR17,Human,R
CCL27,GPR17,Human,R
CORT,GPR174,Human,R
CCL21,GPR174,Human,R
CXCL11,GPR174,Human,R
CCL25,GPR174,Human,R
CCL16,GPR174,Human,R
CXCL13,GPR174,Human,R
PENK,GPR174,Human,R
PDYN,GPR174,Human,R
CALCA,GPR174,Human,R
PTH,GPR174,Human,R
VIP,GPR174,Human,R
GHRH,GPR174,Human,R
PF4,GPR174,Human,R
CXCL10,GPR174,Human,R
GIP,GPR174,Human,R
NPS,GPR174,Human,R
CALCB,GPR174,Human,R
IAPP,GPR174,Human,R
CCL2,GPR174,Human,R
TAC1,GPR174,Human,R
PMCH,GPR174,Human,R
GAL,GPR174,Human,R
SST,GPR174,Human,R
CCL20,GPR174,Human,R
CCL8,GPR174,Human,R
CXCL9,GPR174,Human,R
PNOC,GPR174,Human,R
NMS,GPR174,Human,R
TAC4,GPR174,Human,R
CCL19,GPR174,Human,R
CCL28,GPR174,Human,R
TAC3,GPR174,Human,R
CCL27,GPR174,Human,R
CORT,GPR183,Human,R
CCL21,GPR183,Human,R
CXCL11,GPR183,Human,R
CCL25,GPR183,Human,R
CCL16,GPR183,Human,R
CXCL13,GPR183,Human,R
PENK,GPR183,Human,R
PDYN,GPR183,Human,R
CALCA,GPR183,Human,R
PTH,GPR183,Human,R
VIP,GPR183,Human,R
GHRH,GPR183,Human,R
CXCL10,GPR183,Human,R
GIP,GPR183,Human,R
NPS,GPR183,Human,R
CALCB,GPR183,Human,R
IAPP,GPR183,Human,R
CCL2,GPR183,Human,R
TAC1,GPR183,Human,R
PMCH,GPR183,Human,R
GAL,GPR183,Human,R
SST,GPR183,Human,R
CCL20,GPR183,Human,R
CCL8,GPR183,Human,R
CXCL9,GPR183,Human,R
PNOC,GPR183,Human,R
NMS,GPR183,Human,R
TAC4,GPR183,Human,R
HEBP1,GPR183,Human,R
TAC3,GPR183,Human,R
CCL27,GPR183,Human,R
CORT,GPR3,Human,R
CCL21,GPR3,Human,R
CXCL11,GPR3,Human,R
CCL25,GPR3,Human,R
CCL16,GPR3,Human,R
CXCL13,GPR3,Human,R
NPPA,GPR3,Human,R
POMC,GPR3,Human,R
PENK,GPR3,Human,R
PDYN,GPR3,Human,R
TSHB,GPR3,Human,R
LHB,GPR3,Human,R
CALCA,GPR3,Human,R
PTH,GPR3,Human,R
PPBP,GPR3,Human,R
PF4,GPR3,Human,R
CXCL10,GPR3,Human,R
CXCL1,GPR3,Human,R
GIP,GPR3,Human,R
CXCL8,GPR3,Human,R
NPPB,GPR3,Human,R
CXCL2,GPR3,Human,R
CXCL3,GPR3,Human,R
TAC1,GPR3,Human,R
PMCH,GPR3,Human,R
GAL,GPR3,Human,R
NPPC,GPR3,Human,R
CXCL5,GPR3,Human,R
CXCL12,GPR3,Human,R
NMU,GPR3,Human,R
SST,GPR3,Human,R
CXCL6,GPR3,Human,R
CXCL9,GPR3,Human,R
PNOC,GPR3,Human,R
TAC4,GPR3,Human,R
NPW,GPR3,Human,R
RLN3,GPR3,Human,R
CCL19,GPR3,Human,R
CCL28,GPR3,Human,R
HEBP1,GPR3,Human,R
TAC3,GPR3,Human,R
CCL27,GPR3,Human,R
CORT,GPR34,Human,R
CXCL11,GPR34,Human,R
CCL16,GPR34,Human,R
CXCL13,GPR34,Human,R
PENK,GPR34,Human,R
PDYN,GPR34,Human,R
CALCA,GPR34,Human,R
PTH,GPR34,Human,R
VIP,GPR34,Human,R
GHRH,GPR34,Human,R
GIP,GPR34,Human,R
NPS,GPR34,Human,R
CALCB,GPR34,Human,R
IAPP,GPR34,Human,R
TAC1,GPR34,Human,R
PMCH,GPR34,Human,R
GAL,GPR34,Human,R
SST,GPR34,Human,R
CCL20,GPR34,Human,R
CXCL9,GPR34,Human,R
PNOC,GPR34,Human,R
NMS,GPR34,Human,R
TAC4,GPR34,Human,R
TAC3,GPR34,Human,R
CCL24,GPR4,Human,R
CORT,GPR4,Human,R
CCL21,GPR4,Human,R
CXCL11,GPR4,Human,R
DEFB4A,GPR4,Human,R
DEFB4B,GPR4,Human,R
CCL25,GPR4,Human,R
CCL16,GPR4,Human,R
CXCL13,GPR4,Human,R
NPPA,GPR4,Human,R
PENK,GPR4,Human,R
PDYN,GPR4,Human,R
TSHB,GPR4,Human,R
CALCA,GPR4,Human,R
PTH,GPR4,Human,R
GCG,GPR4,Human,R
VIP,GPR4,Human,R
GHRH,GPR4,Human,R
PF4,GPR4,Human,R
CXCL10,GPR4,Human,R
RLN2,GPR4,Human,R
GIP,GPR4,Human,R
NPS,GPR4,Human,R
CALCB,GPR4,Human,R
IAPP,GPR4,Human,R
CCL2,GPR4,Human,R
NPPB,GPR4,Human,R
TAC1,GPR4,Human,R
PMCH,GPR4,Human,R
GAL,GPR4,Human,R
NPPC,GPR4,Human,R
CXCL12,GPR4,Human,R
NMU,GPR4,Human,R
CCL11,GPR4,Human,R
CCL18,GPR4,Human,R
DEFB1,GPR4,Human,R
SST,GPR4,Human,R
CCL20,GPR4,Human,R
CCL8,GPR4,Human,R
DEFB103A,GPR4,Human,R
DEFB103B,GPR4,Human,R
CXCL9,GPR4,Human,R
PNOC,GPR4,Human,R
CCL15,GPR4,Human,R
NMS,GPR4,Human,R
TAC4,GPR4,Human,R
DEFB106A,GPR4,Human,R
CCL13,GPR4,Human,R
CCL19,GPR4,Human,R
CCL28,GPR4,Human,R
HEBP1,GPR4,Human,R
TAC3,GPR4,Human,R
CCL27,GPR4,Human,R
CORT,GPR6,Human,R
NPPA,GPR6,Human,R
POMC,GPR6,Human,R
PENK,GPR6,Human,R
PDYN,GPR6,Human,R
CALCA,GPR6,Human,R
PTH,GPR6,Human,R
GCG,GPR6,Human,R
VIP,GPR6,Human,R
RLN2,GPR6,Human,R
CRH,GPR6,Human,R
GIP,GPR6,Human,R
SCT,GPR6,Human,R
NPS,GPR6,Human,R
CALCB,GPR6,Human,R
IAPP,GPR6,Human,R
NPPB,GPR6,Human,R
ADCYAP1,GPR6,Human,R
TAC1,GPR6,Human,R
PMCH,GPR6,Human,R
GAL,GPR6,Human,R
NPPC,GPR6,Human,R
NMU,GPR6,Human,R
SST,GPR6,Human,R
PNOC,GPR6,Human,R
NMS,GPR6,Human,R
TAC4,GPR6,Human,R
NPW,GPR6,Human,R
RLN3,GPR6,Human,R
PTH2,GPR6,Human,R
TAC3,GPR6,Human,R
INSL5,GPR6,Human,R
CORT,GPR83,Human,R
CXCL11,GPR83,Human,R
CCL25,GPR83,Human,R
NPPA,GPR83,Human,R
POMC,GPR83,Human,R
PENK,GPR83,Human,R
PDYN,GPR83,Human,R
CALCA,GPR83,Human,R
PTH,GPR83,Human,R
GCG,GPR83,Human,R
VIP,GPR83,Human,R
GHRH,GPR83,Human,R
PPY,GPR83,Human,R
NPY,GPR83,Human,R
RLN2,GPR83,Human,R
CRH,GPR83,Human,R
GIP,GPR83,Human,R
SCT,GPR83,Human,R
NPS,GPR83,Human,R
PYY,GPR83,Human,R
CALCB,GPR83,Human,R
IAPP,GPR83,Human,R
NPPB,GPR83,Human,R
ADCYAP1,GPR83,Human,R
TAC1,GPR83,Human,R
PMCH,GPR83,Human,R
GAL,GPR83,Human,R
NPPC,GPR83,Human,R
NMU,GPR83,Human,R
SST,GPR83,Human,R
CXCL9,GPR83,Human,R
PNOC,GPR83,Human,R
NMS,GPR83,Human,R
TAC4,GPR83,Human,R
NPW,GPR83,Human,R
NPB,GPR83,Human,R
RLN3,GPR83,Human,R
PTH2,GPR83,Human,R
CCL28,GPR83,Human,R
TAC3,GPR83,Human,R
INSL5,GPR83,Human,R
CCL24,GPR87,Human,R
CORT,GPR87,Human,R
CCL21,GPR87,Human,R
CXCL11,GPR87,Human,R
CCL25,GPR87,Human,R
CCL16,GPR87,Human,R
CXCL13,GPR87,Human,R
NPPA,GPR87,Human,R
PENK,GPR87,Human,R
PDYN,GPR87,Human,R
CALCA,GPR87,Human,R
PTH,GPR87,Human,R
GCG,GPR87,Human,R
VIP,GPR87,Human,R
GHRH,GPR87,Human,R
PF4,GPR87,Human,R
CXCL10,GPR87,Human,R
RLN2,GPR87,Human,R
GIP,GPR87,Human,R
SCT,GPR87,Human,R
NPS,GPR87,Human,R
CALCB,GPR87,Human,R
IAPP,GPR87,Human,R
CCL2,GPR87,Human,R
NPPB,GPR87,Human,R
TAC1,GPR87,Human,R
PMCH,GPR87,Human,R
GAL,GPR87,Human,R
NPPC,GPR87,Human,R
CXCL12,GPR87,Human,R
NMU,GPR87,Human,R
CCL11,GPR87,Human,R
CCL18,GPR87,Human,R
SST,GPR87,Human,R
CCL20,GPR87,Human,R
CCL8,GPR87,Human,R
CXCL9,GPR87,Human,R
PNOC,GPR87,Human,R
CCL15,GPR87,Human,R
NMS,GPR87,Human,R
TAC4,GPR87,Human,R
CCL13,GPR87,Human,R
CCL19,GPR87,Human,R
CCL28,GPR87,Human,R
HEBP1,GPR87,Human,R
TAC3,GPR87,Human,R
CCL27,GPR87,Human,R
CORT,GRM2,Human,R
CCL21,GRM2,Human,R
WNT9B,GRM2,Human,R
CCL25,GRM2,Human,R
NPPA,GRM2,Human,R
AVP,GRM2,Human,R
POMC,GRM2,Human,R
PENK,GRM2,Human,R
PDYN,GRM2,Human,R
TSHB,GRM2,Human,R
LHB,GRM2,Human,R
CALCA,GRM2,Human,R
PTH,GRM2,Human,R
GCG,GRM2,Human,R
VIP,GRM2,Human,R
PPY,GRM2,Human,R
NPY,GRM2,Human,R
APOA1,GRM2,Human,R
PF4,GRM2,Human,R
APOA4,GRM2,Human,R
CRH,GRM2,Human,R
CXCL1,GRM2,Human,R
GIP,GRM2,Human,R
SCT,GRM2,Human,R
NPS,GRM2,Human,R
CALCB,GRM2,Human,R
CXCL8,GRM2,Human,R
EDN3,GRM2,Human,R
NPPB,GRM2,Human,R
ADCYAP1,GRM2,Human,R
CXCL2,GRM2,Human,R
CXCL3,GRM2,Human,R
TAC1,GRM2,Human,R
PMCH,GRM2,Human,R
EDN2,GRM2,Human,R
GAL,GRM2,Human,R
NPPC,GRM2,Human,R
CXCL5,GRM2,Human,R
NMU,GRM2,Human,R
INSL3,GRM2,Human,R
PLTP,GRM2,Human,R
SST,GRM2,Human,R
CXCL6,GRM2,Human,R
CXCL9,GRM2,Human,R
PNOC,GRM2,Human,R
SOSTDC1,GRM2,Human,R
TAC4,GRM2,Human,R
NPW,GRM2,Human,R
NPB,GRM2,Human,R
RLN3,GRM2,Human,R
UCN3,GRM2,Human,R
PTH2,GRM2,Human,R
UCN2,GRM2,Human,R
SOST,GRM2,Human,R
CCL28,GRM2,Human,R
HEBP1,GRM2,Human,R
TAC3,GRM2,Human,R
RIMS2,GRM2,Human,R
CCL27,GRM2,Human,R
CCL21,GRM6,Human,R
WNT9B,GRM6,Human,R
CCL25,GRM6,Human,R
DHH,GRM6,Human,R
NPPA,GRM6,Human,R
AVP,GRM6,Human,R
POMC,GRM6,Human,R
PENK,GRM6,Human,R
PDYN,GRM6,Human,R
TSHB,GRM6,Human,R
LHB,GRM6,Human,R
PF4,GRM6,Human,R
WNT1,GRM6,Human,R
EDN1,GRM6,Human,R
CRH,GRM6,Human,R
VIM,GRM6,Human,R
CXCL1,GRM6,Human,R
WNT2,GRM6,Human,R
SCT,GRM6,Human,R
CXCL8,GRM6,Human,R
RBP3,GRM6,Human,R
EDN3,GRM6,Human,R
PKM,GRM6,Human,R
NPPB,GRM6,Human,R
CXCL2,GRM6,Human,R
CXCL3,GRM6,Human,R
PMCH,GRM6,Human,R
EDN2,GRM6,Human,R
IGFBP4,GRM6,Human,R
NPPC,GRM6,Human,R
NTF4,GRM6,Human,R
WNT5A,GRM6,Human,R
CXCL5,GRM6,Human,R
NMU,GRM6,Human,R
INSL3,GRM6,Human,R
MFAP2,GRM6,Human,R
PLTP,GRM6,Human,R
WNT3,GRM6,Human,R
WNT3A,GRM6,Human,R
CXCL6,GRM6,Human,R
NDP,GRM6,Human,R
CXCL9,GRM6,Human,R
IHH,GRM6,Human,R
SOSTDC1,GRM6,Human,R
NPW,GRM6,Human,R
WNT2B,GRM6,Human,R
WNT8B,GRM6,Human,R
PTH2,GRM6,Human,R
SOST,GRM6,Human,R
WNT8A,GRM6,Human,R
HEBP1,GRM6,Human,R
RIMS2,GRM6,Human,R
WNT6,GRM6,Human,R
CCL21,GRM8,Human,R
WNT9B,GRM8,Human,R
CCL25,GRM8,Human,R
ARPC5,GRM8,Human,R
NPPA,GRM8,Human,R
POMC,GRM8,Human,R
PENK,GRM8,Human,R
PDYN,GRM8,Human,R
TSHB,GRM8,Human,R
LHB,GRM8,Human,R
PF4,GRM8,Human,R
TF,GRM8,Human,R
WNT1,GRM8,Human,R
EDN1,GRM8,Human,R
CRH,GRM8,Human,R
VIM,GRM8,Human,R
CXCL1,GRM8,Human,R
CXCL8,GRM8,Human,R
EDN3,GRM8,Human,R
PKM,GRM8,Human,R
NPPB,GRM8,Human,R
CXCL2,GRM8,Human,R
CXCL3,GRM8,Human,R
PMCH,GRM8,Human,R
EDN2,GRM8,Human,R
NPPC,GRM8,Human,R
NTF4,GRM8,Human,R
CXCL5,GRM8,Human,R
NMU,GRM8,Human,R
PLTP,GRM8,Human,R
WNT3,GRM8,Human,R
ACTR2,GRM8,Human,R
CXCL6,GRM8,Human,R
CXCL9,GRM8,Human,R
SOSTDC1,GRM8,Human,R
NPW,GRM8,Human,R
PTH2,GRM8,Human,R
SOST,GRM8,Human,R
HEBP1,GRM8,Human,R
RIMS2,GRM8,Human,R
RSPO4,IGDCC3,Human,R
RSPO1,IGDCC3,Human,R
RSPO2,IGDCC3,Human,R
RSPO3,IGDCC3,Human,R
RSPO4,IGDCC4,Human,R
RSPO1,IGDCC4,Human,R
RSPO2,IGDCC4,Human,R
RSPO3,IGDCC4,Human,R
RSPO4,IGSF9,Human,R
RSPO1,IGSF9,Human,R
RSPO2,IGSF9,Human,R
RSPO3,IGSF9,Human,R
RSPO4,IGSF9B,Human,R
RSPO1,IGSF9B,Human,R
RSPO2,IGSF9B,Human,R
RSPO3,IGSF9B,Human,R
LEFTY2,INSRR,Human,R
DLL1,INSRR,Human,R
MFNG,INSRR,Human,R
PODXL,INSRR,Human,R
CCN1,INSRR,Human,R
NRG2,INSRR,Human,R
MSTN,INSRR,Human,R
WNT9B,INSRR,Human,R
EREG,INSRR,Human,R
SEMA3E,INSRR,Human,R
ANGPT2,INSRR,Human,R
LAMA5,INSRR,Human,R
CHAD,INSRR,Human,R
ARPC5,INSRR,Human,R
FGF10,INSRR,Human,R
ADAM12,INSRR,Human,R
DHH,INSRR,Human,R
EDIL3,INSRR,Human,R
VEGFD,INSRR,Human,R
EFNA2,INSRR,Human,R
FGF17,INSRR,Human,R
DSCAM,INSRR,Human,R
PSPN,INSRR,Human,R
SEMA7A,INSRR,Human,R
LEFTY1,INSRR,Human,R
FGF18,INSRR,Human,R
FARP2,INSRR,Human,R
LRIG2,INSRR,Human,R
DKK1,INSRR,Human,R
SEMA3D,INSRR,Human,R
NXPH2,INSRR,Human,R
NXPH3,INSRR,Human,R
GDF11,INSRR,Human,R
FGF19,INSRR,Human,R
SEMA4F,INSRR,Human,R
F8,INSRR,Human,R
F10,INSRR,Human,R
SPINK1,INSRR,Human,R
SERPINA1,INSRR,Human,R
TGFA,INSRR,Human,R
TSHB,INSRR,Human,R
FSHB,INSRR,Human,R
LHB,INSRR,Human,R
IGF2,INSRR,Human,R
COL1A1,INSRR,Human,R
COL2A1,INSRR,Human,R
COL3A1,INSRR,Human,R
COL4A1,INSRR,Human,R
APOA1,INSRR,Human,R
APOA2,INSRR,Human,R
APOC2,INSRR,Human,R
APOC3,INSRR,Human,R
FGA,INSRR,Human,R
FGB,INSRR,Human,R
FGG,INSRR,Human,R
C1QB,INSRR,Human,R
ALB,INSRR,Human,R
GC,INSRR,Human,R
TF,INSRR,Human,R
LTF,INSRR,Human,R
HPX,INSRR,Human,R
AMH,INSRR,Human,R
VTN,INSRR,Human,R
PROC,INSRR,Human,R
ANXA1,INSRR,Human,R
PDGFA,INSRR,Human,R
